model,perturbation,seed,rmse,mae,smape,mape,mase
dlinear,clean,42,27.690120697021484,25.069318771362305,1.7062079906463623,1.3316340446472168,20.13729476928711
dlinear,missing_mcar,42,27.237714767456055,25.047637939453125,1.7261881828308105,1.3277218341827393,20.1198787689209
dlinear,outlier_spike,42,28.846996307373047,25.32424545288086,1.6470928192138672,1.3381463289260864,20.34206771850586
dlinear,block_missing,42,28.471149444580078,26.14285659790039,1.7490350008010864,1.3840636014938354,20.999629974365234
dlinear,delay_shift,42,27.71039390563965,24.656036376953125,1.6609631776809692,1.2889775037765503,19.80531883239746
patchtst,clean,42,18.366615295410156,18.17763900756836,1.8767653703689575,0.9679375886917114,14.601452827453613
patchtst,missing_mcar,42,18.36924934387207,18.18038558959961,1.8772904872894287,0.968085527420044,14.603658676147461
patchtst,outlier_spike,42,18.369647979736328,18.180681228637695,1.8774831295013428,0.968102753162384,14.603896141052246
patchtst,block_missing,42,18.383760452270508,18.19853973388672,1.881721019744873,0.9692264199256897,14.618241310119629
patchtst,delay_shift,42,18.37580108642578,18.186079025268555,1.8785103559494019,0.968349039554596,14.608232498168945
